"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
100	0.2468293	1.0000000	0.9649279	0.0133230	0.3551231	0.3706542	0.5878470	0.3665343	0.7006002	1.0000000
150	0.2468293	1.0000000	0.9649279	0.0133230	0.3448552	0.3577250	0.5953105	0.3665343	0.7006000	1.0000000
200	0.2468293	1.0000000	0.9649279	0.0133230	0.3418637	0.3531967	0.5981617	0.3665343	0.7006000	1.0000000
250	0.2468293	1.0000000	0.9649279	0.0133230	0.3409922	0.3516106	0.5992509	0.3665343	0.7006000	1.0000000
300	0.2468293	1.0000000	0.9649279	0.0133230	0.3407382	0.3510551	0.5996670	0.3665343	0.7006000	1.0000000
350	0.2468293	1.0000000	0.9649279	0.0133230	0.3406643	0.3508605	0.5998260	0.3665343	0.7006000	1.0000000
400	0.2468293	1.0000000	0.9649279	0.0133230	0.3406427	0.3507924	0.5998867	0.3665343	0.7006000	1.0000000
450	0.2468293	1.0000000	0.9649279	0.0133230	0.3406364	0.3507685	0.5999099	0.3665343	0.7006000	1.0000000
500	0.2468293	1.0000000	0.9649279	0.0133230	0.3406346	0.3507602	0.5999187	0.3665343	0.7006000	1.0000000
550	0.2468293	1.0000000	0.9649279	0.0133230	0.4616048	0.4561529	0.5487812	0.3665343	0.7006000	1.0000000
600	0.2468293	1.0000000	0.9649279	0.0133230	0.4968484	0.4930663	0.5292458	0.3665343	0.7006000	1.0000000
650	0.2468293	1.0000000	0.9649279	0.0133230	0.5071163	0.5059951	0.5217829	0.3665343	0.7006000	1.0000000
700	0.2468293	1.0000000	0.9649279	0.0133230	0.5101077	0.5105233	0.5189320	0.3665343	0.7006000	1.0000000
750	0.2468293	1.0000000	0.9649279	0.0133230	0.5109793	0.5121093	0.5178429	0.3665343	0.7006000	1.0000000
800	0.2468293	1.0000000	0.9649279	0.0133230	0.5112332	0.5126648	0.5174269	0.3665343	0.7006000	1.0000000
850	0.2468293	1.0000000	0.9649279	0.0133230	0.5113072	0.5128594	0.5172679	0.3665343	0.7006000	1.0000000
900	0.2468293	1.0000000	0.9649279	0.0133230	0.5113287	0.5129275	0.5172072	0.3665343	0.7006000	1.0000000
950	0.2468293	1.0000000	0.9649279	0.0133230	0.5113350	0.5129514	0.5171840	0.3665343	0.7006000	1.0000000
1000	0.2468293	1.0000000	0.9649279	0.0133230	0.5113368	0.5129597	0.5171751	0.3665343	0.7006000	1.0000000

0	0.2468293	1.0000000	0.9649279	0.0133237	0.5113376	0.5129648	0.5171678	0.3665343	0.7006012	1.0000000
50	0.0664715	1.0000000	0.9649279	0.0045861	0.2225000	0.2386483	0.5105780	0.2574814	0.6236576	0.8573931
100	0.0199567	1.0000000	0.9649279	0.0016473	0.1438963	0.1452023	0.4943904	0.2568011	0.5945751	0.8446141
150	0.0079604	1.0000000	0.9649279	0.0006645	0.1241472	0.1139712	0.4803944	0.2656330	0.5837228	0.8434689
200	0.0048665	1.0000000	0.9649279	0.0003376	0.1197986	0.1037003	0.4715626	0.2709819	0.5797092	0.8433663
250	0.0040686	1.0000000	0.9649279	0.0002294	0.1191247	0.1003845	0.4667179	0.2734917	0.5782355	0.8433571
300	0.0038628	1.0000000	0.9649279	0.0001939	0.1191748	0.0993403	0.4642559	0.2745795	0.5776982	0.8433563
350	0.0038097	1.0000000	0.9649279	0.0001823	0.1192913	0.0990230	0.4630625	0.2750373	0.5775038	0.8433562
400	0.0037960	1.0000000	0.9649279	0.0001785	0.1193673	0.0989318	0.4625022	0.2752278	0.5774342	0.8433562
450	0.0037925	1.0000000	0.9649279	0.0001773	0.1194069	0.0989081	0.4622450	0.2753066	0.5774095	0.8433562
500	0.0037916	1.0000000	0.9649279	0.0001770	0.1194256	0.0989033	0.4621290	0.2753391	0.5774008	0.8433562
550	0.1841491	1.0000000	0.9649279	0.0089622	0.4386209	0.3954386	0.4694788	0.3921417	0.6543462	0.9859632
600	0.2306638	1.0000000	0.9649279	0.0118841	0.5094595	0.4847228	0.4864005	0.3882229	0.6832936	0.9987422
650	0.2426601	1.0000000	0.9649279	0.0128506	0.5188321	0.5084767	0.5001661	0.3771664	0.6941359	0.9998873
700	0.2457540	1.0000000	0.9649279	0.0131689	0.5168292	0.5136194	0.5085110	0.3711570	0.6981913	0.9999899
750	0.2465519	1.0000000	0.9649279	0.0132732	0.5142989	0.5141108	0.5129711	0.3684726	0.6997052	0.9999991
800	0.2467577	1.0000000	0.9649279	0.0133071	0.5127613	0.5137438	0.5151986	0.3673378	0.7002688	0.9999999
850	0.2468108	1.0000000	0.9649279	0.0133180	0.5119837	0.5133932	0.5162653	0.3668662	0.7004780	1.0000000
900	0.2468245	1.0000000	0.9649279	0.0133214	0.5116212	0.5131788	0.5167617	0.3666713	0.7005552	1.0000000
950	0.2468280	1.0000000	0.9649279	0.0133225	0.5114596	0.5130659	0.5169880	0.3665908	0.7005837	1.0000000
1000	0.2468289	1.0000000	0.9649279	0.0133228	0.5113894	0.5130108	0.5170897	0.3665576	0.7005941	1.0000000

0	0.2468293	1.0000000	0.9649279	0.0133237	0.5113376	0.5129648	0.5171678	0.3665343	0.7006012	1.0000000
50	0.1524325	0.9749365	0.9646661	0.0046499	0.2504711	0.5129644	0.5171690	0.3665343	0.2992002	1.0000000
100	0.1304570	0.9684106	0.9612185	0.0017154	0.1744700	0.5129643	0.5171694	0.3665343	0.1446726	1.0000000
150	0.1259149	0.9667114	0.9595711	0.0007227	0.1523277	0.5129643	0.5171696	0.3665343	0.0851685	1.0000000
200	0.1251238	0.9662690	0.9590069	0.0003869	0.1458767	0.5129643	0.5171696	0.3665343	0.0622589	1.0000000
250	0.1250335	0.9661538	0.9588376	0.0002732	0.1439973	0.5129642	0.5171697	0.3665343	0.0534407	1.0000000
300	0.1250422	0.9661238	0.9587898	0.0002348	0.1434498	0.5129642	0.5171697	0.3665343	0.0500473	1.0000000
350	0.1250532	0.9661160	0.9587768	0.0002218	0.1432902	0.5129642	0.5171697	0.3665343	0.0487417	1.0000000
400	0.1250583	0.9661140	0.9587733	0.0002174	0.1432438	0.5129642	0.5171697	0.3665343	0.0482395	1.0000000
450	0.1250603	0.9661134	0.9587723	0.0002159	0.1432302	0.5129642	0.5171697	0.3665343	0.0480463	1.0000000
500	0.1250610	0.9661133	0.9587721	0.0002154	0.1432263	0.5129642	0.5171697	0.3665343	0.0479720	1.0000000
550	0.2222621	0.9911767	0.9590959	0.0088886	0.4040916	0.5129642	0.5171697	0.3665343	0.4459743	1.0000000
600	0.2432186	0.9977026	0.9627361	0.0118228	0.4800924	0.5129642	0.5171697	0.3665343	0.6011963	1.0000000
650	0.2467644	0.9994018	0.9642467	0.0128154	0.5022346	0.5129642	0.5171697	0.3665343	0.6618975	1.0000000
700	0.2470648	0.9998442	0.9647313	0.0131513	0.5086855	0.5129642	0.5171697	0.3665343	0.6855775	1.0000000
750	0.2469602	0.9999594	0.9648734	0.0132649	0.5105649	0.5129642	0.5171697	0.3665343	0.6947841	1.0000000
800	0.2468821	0.9999894	0.9649131	0.0133033	0.5111125	0.5129642	0.5171697	0.3665343	0.6983529	1.0000000
850	0.2468480	0.9999973	0.9649239	0.0133163	0.5112720	0.5129642	0.5171697	0.3665343	0.6997330	1.0000000
900	0.2468354	0.9999993	0.9649268	0.0133207	0.5113185	0.5129642	0.5171697	0.3665343	0.7002658	1.0000000
950	0.2468312	0.9999998	0.9649276	0.0133222	0.5113320	0.5129642	0.5171697	0.3665343	0.7004713	1.0000000
