"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
200	0.2853929	0.9806170	0.9120389	0.0000000	0.5911244	0.0104608	0.8653735	0.4343532	0.2873280	0.9205192
250	0.2973481	1.0788863	0.9344237	0.0001404	0.5681015	0.0052035	0.8540176	0.3980182	0.2678136	0.8657923
300	0.2182855	1.0371790	0.9427938	0.0015213	0.4899125	0.0037381	0.8308624	0.3865866	0.2838915	0.8505813
350	0.2423274	0.9443615	0.9609082	0.0018586	0.5819095	0.0008406	0.9241445	0.4154305	0.2773388	0.8810890
400	0.2185489	0.9809195	0.9864650	0.0001264	0.5377125	0.0007185	0.8327230	0.4067601	0.2709347	0.8339851
450	0.2612171	1.0565450	0.9556038	0.0009428	0.5831099	0.0010479	0.8637402	0.3858755	0.2937701	0.8172543
500	0.2577284	1.0138950	0.9639043	0.0004647	0.5970019	0.0002597	0.9175924	0.3913765	0.3372178	0.8853045
550	0.2548859	0.9627980	0.8795911	0.0047154	0.5388066	0.3315134	0.6284964	0.3859850	0.5130122	1.0713896
600	0.2530177	1.1218578	0.9220695	0.0080569	0.5086401	0.4199790	0.5606325	0.3775025	0.6602245	0.9888594
650	0.2349567	1.0281296	1.0327529	0.0081358	0.5266299	0.4627190	0.4728990	0.3362413	0.7198860	0.9893504
700	0.2281159	1.0793934	1.0013688	0.0123613	0.5346074	0.5091167	0.4956460	0.3807194	0.6740078	1.0136544
750	0.2344309	1.0041391	0.9975821	0.0207794	0.5283912	0.5544410	0.5358344	0.3700842	0.6813866	1.1025242
800	0.2478812	1.0032538	0.9573696	0.0121745	0.4396751	0.5300797	0.4748192	0.3449595	0.7407251	0.9950033
850	0.2504786	1.0047111	0.9238593	0.0063939	0.5025878	0.5161589	0.5102831	0.3262971	0.7117786	0.9441874
900	0.2382090	0.9834059	0.9338856	0.0112396	0.5516252	0.5053583	0.5141010	0.4097418	0.6995209	1.0323414
950	0.2351042	1.0597086	0.9365118	0.0123284	0.4969445	0.5419398	0.5380635	0.3423622	0.7047613	1.0235655
1000	0.1931772	1.0737965	0.9768873	0.0154848	0.4860405	0.5127117	0.5139530	0.3503468	0.6894371	1.0267056
