"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
550	0.9572932	0.5966022	0.0378877	0.6930376	0.4682990	0.6081010	0.0028076	0.8382038	0.4412820	0.5750537	0.2699307	0.3845141	0.2382486	0.8021462	0.0274171	0.7498268
600	1.0445190	0.6349819	0.0411574	0.6573096	0.4661272	0.6783962	0.0014933	0.8950852	0.4952634	0.6379023	0.2440068	0.3726371	0.2319826	0.7295247	0.0341759	0.7657383
650	1.0225065	0.6795034	0.0553342	0.6251288	0.4584333	0.6036383	0.0117980	0.8731723	0.4921647	0.6081789	0.2755003	0.3450293	0.2524488	0.7533381	0.0240944	0.8023295
700	0.9968626	0.6009627	0.0442277	0.5835052	0.4686269	0.6219903	0.0200277	0.8350256	0.5004163	0.5677495	0.2660113	0.3337550	0.2314474	0.7280622	0.0118811	0.7260471
750	1.0500338	0.6184182	0.0427648	0.5627643	0.4941094	0.6560070	0.0053698	0.7656652	0.4258974	0.5708891	0.2990656	0.2623717	0.2097111	0.7859551	0.0224443	0.7375637
800	0.9801629	0.6428058	0.0661025	0.6275499	0.5471736	0.6930963	0.0022262	0.7608824	0.4415565	0.6032014	0.2434024	0.2496797	0.2199294	0.7341660	0.0217803	0.7624820
850	0.9931391	0.6429360	0.0603478	0.6892199	0.4032142	0.6398772	0.0141844	0.7320373	0.5163130	0.5323625	0.2597096	0.2576302	0.2600529	0.7601426	0.0384737	0.8072164
900	1.0189846	0.6174708	0.0520547	0.5854597	0.4562455	0.6819879	0.0067013	0.7722750	0.4646060	0.4991323	0.2206810	0.2616348	0.2687687	0.7474120	0.0195621	0.7889184
950	1.0352105	0.6468923	0.0747908	0.6274371	0.4972196	0.7099757	0.0003966	0.8023151	0.4546783	0.5256665	0.1982785	0.2853058	0.2392552	0.7776407	0.0199109	0.7406327
1000	0.9897427	0.6692700	0.0734511	0.5799613	0.4616429	0.7043059	0.0110089	0.8324911	0.4938514	0.5851381	0.2499918	0.2606819	0.2944159	0.7632511	0.0333350	0.6914640

0	1.0292582	0.6365749	0.0473712	0.6517803	0.5555690	0.7394196	0.0061377	0.6655635	0.5274779	0.7307343	0.2671613	0.3444116	0.3001965	0.7594602	0.0336901	0.7279898
50	0.9050460	0.6486200	0.0577145	0.5576898	0.5188551	0.6986005	0.0163816	0.5181988	0.4712423	0.5042916	0.2926306	0.3818741	0.0412231	0.7930926	0.0445154	0.7462775
100	1.0254151	0.4988644	0.0875414	0.5226751	0.4994413	0.6939585	0.0178605	0.5543901	0.4520232	0.5243573	0.3091011	0.4619299	0.0088920	0.8798382	0.0797704	0.6471173
150	1.0059820	0.6179231	0.0790396	0.6108119	0.4995423	0.6612687	0.0028205	0.5877196	0.4660022	0.5445426	0.2861374	0.4557967	0.0121004	0.8238146	0.1723181	0.5688717
200	1.0523692	0.5574602	0.0827379	0.5665352	0.5298120	0.6422250	0.0020278	0.6825525	0.5059861	0.5496373	0.2411246	0.4251256	0.0060666	0.5471352	0.3708619	0.4551751
250	1.0160289	0.5811294	0.0805971	0.5918444	0.4926767	0.6595786	0.0032276	0.7317597	0.4833196	0.5758588	0.2453156	0.4469888	0.0002264	0.4106736	0.4592800	0.4541702
300	1.0266734	0.5900926	0.0782217	0.5491976	0.4750957	0.6454827	0.0102863	0.7010757	0.4057516	0.5783115	0.2609227	0.4385630	0.0026420	0.4337920	0.4440403	0.4322905
350	1.0236214	0.6662472	0.0515630	0.5951997	0.5301560	0.6722430	0.0184851	0.6466749	0.4061415	0.6274255	0.2887075	0.3698398	0.0048757	0.4377068	0.6125168	0.3864518
400	1.0084687	0.6422670	0.0634629	0.6504428	0.4946139	0.6167179	0.0210006	0.6755051	0.4335104	0.6200743	0.2460906	0.3649973	0.0049026	0.3430488	0.5092718	0.4063704
450	1.0126331	0.6058951	0.0674487	0.5342557	0.5088681	0.6753691	0.0133690	0.6911437	0.4087937	0.5670550	0.2639924	0.4313029	0.0005059	0.3840304	0.5176822	0.4178409
500	0.9980577	0.6569449	0.0762130	0.5765221	0.5159959	0.6699940	0.0192414	0.6937110	0.4040997	0.5716173	0.2818181	0.4233308	0.0004126	0.3393167	0.5669150	0.3503349
550	0.9546608	0.6270086	0.0790422	0.5744990	0.4867928	0.7474240	0.0130651	0.7792282	0.4687685	0.5454579	0.2481624	0.3022986	0.1957123	0.3666287	0.4204349	0.6244873
600	1.0152490	0.6818252	0.0634638	0.6204526	0.4796793	0.7130490	0.0064913	0.7624079	0.4904869	0.5628985	0.2974655	0.2807890	0.2149414	0.3423998	0.1407862	0.8017893
650	0.9415121	0.6344124	0.0748831	0.5688742	0.5328222	0.6700288	0.0016966	0.7871020	0.4466436	0.5243670	0.2413667	0.2491343	0.2267575	0.5433710	0.0384250	0.8234421
700	1.0523686	0.6106926	0.0586138	0.5929774	0.5938549	0.7041297	0.0134110	0.7297500	0.4659876	0.5622471	0.2671460	0.2829232	0.2713827	0.6850173	0.0349387	0.7822429
