"Time"	G4	G3	G14	G13	G1	G12	G0	G11	G10	G8	G7	G6	G5
500	0.0092335	0.0476070	0.0741569	0.4587990	0.1038230	0.7535817	0.7468567	0.0573080	0.4143503	0.1879436	0.3743420	0.3672746	0.1158422
550	0.0223849	0.0295073	0.0600214	0.4411830	0.1164588	0.5711370	0.8774186	0.1502521	0.3328419	0.1896629	0.3274821	0.5381797	0.1831430
600	0.0837503	0.0165273	0.1067614	0.5477679	0.1607274	0.7282757	0.6747141	0.2165017	0.3863765	0.2060140	0.2671124	0.4461087	0.1116382
650	0.0674295	0.0412311	0.0862912	0.5667588	0.0450618	0.6307560	0.7603366	0.1673963	0.4697944	0.1776840	0.3682735	0.5739502	0.1460229
700	0.0791667	0.0354447	0.0656472	0.5157761	0.0934395	0.7502740	0.7092559	0.1680682	0.4677612	0.2502309	0.3647198	0.5914655	0.1745946
750	0.0677493	0.0175445	0.0693543	0.4179995	0.0883828	0.7784056	0.7713007	0.2055399	0.5213706	0.1980678	0.3309771	0.6079946	0.1315988
800	0.0503333	0.0135567	0.0541237	0.5645450	0.0706909	0.7632336	0.8709956	0.2421510	0.4735855	0.1881384	0.2814372	0.5328241	0.1159378
850	0.0562475	0.0628501	0.0587163	0.4298112	0.0494043	0.6470492	0.8358815	0.1353806	0.3287829	0.2255167	0.2737081	0.5765473	0.1328881
900	0.0735850	0.0472227	0.0914958	0.6075676	0.0751938	0.7056754	0.6985343	0.2007868	0.4545288	0.2113643	0.2805878	0.6083165	0.1609356
950	0.0612647	0.0583722	0.0836217	0.4398355	0.1109000	0.7765197	0.7271755	0.2415213	0.6672368	0.2130159	0.3812255	0.4727011	0.0978215
1000	0.0821582	0.0504116	0.0822201	0.4729447	0.0846570	0.6059516	0.8941230	0.1947444	0.6155497	0.1762515	0.3903641	0.3724935	0.1375701

0	0.0627383	0.0306449	0.1020463	0.4403518	0.0800082	0.7282841	0.8063917	0.1657738	0.5302864	0.1809112	0.3110343	0.5592380	0.1574186
50	0.0861608	0.0219869	0.0794414	0.2898188	0.0997141	0.7038991	0.7227885	0.0905322	0.5580199	0.2085712	0.4370265	0.5152287	0.1275408
100	0.0807489	0.0442232	0.1160974	0.1563181	0.0764178	0.7771651	0.7696905	0.1036554	0.4954723	0.2881126	0.2801265	0.5193912	0.1654582
150	0.1428008	0.0493235	0.1151074	0.1911741	0.0990139	0.7916093	0.7988671	0.1630667	0.5623721	0.1983608	0.3654578	0.5038713	0.1917429
200	0.1172631	0.0294566	0.0399773	0.1874786	0.0703653	0.6238289	0.7587720	0.1140975	0.5234297	0.2850403	0.4059502	0.5161362	0.1429880
250	0.0689972	0.0232338	0.0556886	0.1495682	0.0771440	0.8047198	0.8696807	0.1879877	0.4318660	0.2106756	0.3798969	0.5522465	0.1195605
300	0.0638217	0.0175323	0.0636579	0.1431314	0.1625139	0.7420916	0.7961332	0.1352891	0.3902728	0.2696471	0.3836602	0.4099624	0.1243624
350	0.0961940	0.0282407	0.0928132	0.1142100	0.0813039	0.6454839	0.7616630	0.1401943	0.5138234	0.2378302	0.4155450	0.5698416	0.1585319
400	0.0538144	0.0482154	0.0719126	0.1264543	0.1027819	0.7246159	0.6921074	0.1093883	0.4972227	0.1792162	0.3434612	0.5711235	0.2226930
450	0.0918154	0.0417103	0.1136509	0.1672935	0.1006376	0.6562121	0.7328796	0.0928396	0.3796112	0.2025000	0.4117510	0.5900413	0.0757224
500	0.0623551	0.0693606	0.0650994	0.1076415	0.0973385	0.6923544	0.7531015	0.1114866	0.4470783	0.1807121	0.4080545	0.5199994	0.1309698
550	0.1168541	0.0412769	0.0778620	0.4111529	0.0541679	0.7461767	0.9146519	0.1464549	0.4170147	0.2012211	0.3408240	0.4857746	0.2014067
600	0.0933407	0.0717151	0.0703311	0.5145540	0.1440944	0.6957789	0.7558812	0.2215633	0.5626151	0.1474326	0.4081766	0.7266499	0.1439415
650	0.1019419	0.0368657	0.0941074	0.4696215	0.1608768	0.8342276	0.7542463	0.2015497	0.3923288	0.2204475	0.3436730	0.4887430	0.1625394
700	0.0523866	0.0230659	0.1500193	0.5340267	0.0984610	0.7235804	0.7087490	0.1417417	0.6191868	0.2286333	0.2775140	0.4796517	0.1531374
750	0.1048493	0.0283970	0.0621492	0.4247151	0.1346555	0.6775547	0.7661876	0.1458232	0.4384194	0.2151245	0.3262735	0.4465775	0.1174391
800	0.0714028	0.0533091	0.1047877	0.3655837	0.0880765	0.6830106	0.9149133	0.1625679	0.5938465	0.2123369	0.2908410	0.5188096	0.1361427
850	0.0715187	0.0464748	0.0771659	0.4200086	0.0908279	0.6485510	0.8057951	0.2117919	0.6267856	0.2025846	0.3153654	0.4988021	0.1281970
900	0.0531526	0.0364918	0.1348366	0.5203474	0.0663023	0.9554923	0.9377029	0.1783979	0.5581048	0.2078791	0.3784917	0.5078088	0.1953852
950	0.0922918	0.0129448	0.0768589	0.5526257	0.0583074	0.6893050	0.8515326	0.1806513	0.4937331	0.1873098	0.3408506	0.5253018	0.1499327
1000	0.0386148	0.0369607	0.0717188	0.4981961	0.0634977	0.6597087	0.8888581	0.1455434	0.6468641	0.1494448	0.2986536	0.3913787	0.1288317

0	0.0719335	0.0288065	0.0721998	0.4414723	0.1016246	0.7529123	0.7988618	0.1375887	0.3840410	0.2348880	0.4271288	0.6182368	0.1123523
50	0.0585549	0.0426729	0.0813079	0.2129451	0.0735555	0.7229066	0.7434748	0.2471505	0.4421786	0.1924051	0.3189238	0.6499981	0.1271030
100	0.0775970	0.0310974	0.0850888	0.1009284	0.0997533	0.7637588	0.6886090	0.1297471	0.4729518	0.2232776	0.3542769	0.8106926	0.1103452
150	0.0645093	0.0389093	0.0576473	0.1894039	0.0574572	0.7606839	0.7042435	0.1926808	0.5160470	0.1675953	0.2501913	0.8504959	0.0886276
200	0.0723925	0.0867314	0.1045258	0.1224397	0.0850499	0.6680719	0.6512192	0.1503063	0.3868777	0.1797343	0.3476853	0.9572715	0.1223196
250	0.0701275	0.0323883	0.0634174	0.0794833	0.0939532	0.7652310	0.6779511	0.1905750	0.3965715	0.1645351	0.4084677	0.7431292	0.1095674
300	0.0421864	0.0503823	0.0728797	0.1128203	0.1450711	0.6293732	0.8672616	0.2647341	0.4273882	0.1854746	0.4164817	0.7530161	0.1078143
350	0.0568708	0.0454818	0.1030983	0.1782150	0.0861895	0.6178119	0.7460040	0.1469722	0.4025373	0.2342120	0.3164295	0.8384582	0.0735197
400	0.0506044	0.0420177	0.1316348	0.1363555	0.0850814	0.6387914	0.6565138	0.1870478	0.5489829	0.1918044	0.3209051	0.7440657	0.0741058
450	0.0621963	0.0338246	0.1024905	0.0825537	0.0579419	0.6211703	0.8412088	0.2142425	0.4707966	0.2509557	0.3167925	0.7457945	0.0730568
500	0.0489887	0.0281801	0.0811158	0.1275070	0.1165061	0.6481003	0.7458997	0.2625361	0.6108574	0.2405704	0.3271166	0.7858566	0.1188756
550	0.0437322	0.0293724	0.0802666	0.3944773	0.0678358	0.6493988	0.7994254	0.1323202	0.5220473	0.2248271	0.2979581	0.6182004	0.0830258
600	0.0941976	0.0399427	0.0673555	0.5980098	0.1262076	0.8775045	0.7740999	0.1610890	0.5145873	0.2736231	0.3090623	0.5869706	0.1085319
650	0.0802969	0.0686912	0.0650378	0.4062265	0.0906236	0.6429722	0.7588202	0.1928023	0.5294945	0.2069161	0.2931145	0.4286742	0.0948827
700	0.0487303	0.0432561	0.1021425	0.5090757	0.1034899	0.6040261	0.7070833	0.1248765	0.5243661	0.1579308	0.3274510	0.3966880	0.1847329
750	0.0643046	0.0406487	0.0951327	0.5638669	0.0771172	0.6822578	0.5731741	0.1832727	0.4525135	0.1324598	0.4562064	0.5296699	0.1215004
800	0.0710964	0.0398366	0.0741341	0.6452963	0.0607077	0.6043398	0.8989281	0.1964358	0.4275009	0.2089649	0.3844680	0.4936661	0.1730326
850	0.0731274	0.0676873	0.0681010	0.5030783	0.0680824	0.6066333	0.7977112	0.2087591	0.4436112	0.3064475	0.3690355	0.6053068	0.1467910
900	0.0683037	0.0498418	0.1286735	0.4390927	0.1258146	0.8326125	0.9617943	0.1626074	0.4971040	0.1966030	0.3533401	0.5402886	0.2355245
950	0.0587767	0.0362072	0.0866245	0.5978130	0.0741837	0.7207399	0.7733975	0.1574453	0.5447093	0.1545266	0.4142296	0.5330103	0.1667701
1000	0.1307464	0.0297694	0.0946372	0.5031336	0.0574592	0.7762262	0.7692854	0.1412996	0.6221966	0.1497153	0.3508687	0.5358543	0.1745616

0	0.0921915	0.0187838	0.0985011	0.4596466	0.0967583	0.7067261	0.7978719	0.1491436	0.4016367	0.1834891	0.3552268	0.6420073	0.1460494
50	0.0895373	0.3317562	0.0522815	0.5427003	0.0471123	0.7258683	0.9370485	0.1804434	0.5758450	0.1603866	0.4314191	0.5940371	0.1781091
100	0.0540578	0.4913386	0.0430576	0.4983991	0.0333784	0.7396965	0.7918474	0.1658263	0.7736624	0.2343451	0.4102836	0.6542890	0.2575147
150	0.0398191	0.4911801	0.0364702	0.5081687	0.0073622	0.7602404	0.6300807	0.1626081	0.7796364	0.1956718	0.3348402	0.4723103	0.1539696
200	0.0683593	0.5021358	0.0768576	0.3581020	0.0291200	0.8048548	0.7822138	0.2330032	0.6507324	0.2167754	0.2756236	0.5587322	0.1225659
250	0.1272301	0.4602191	0.0458525	0.3614637	0.0075930	0.9488467	0.6657065	0.1474850	0.7739609	0.1268252	0.3133109	0.5183490	0.1137237
300	0.1124576	0.5347103	0.1205536	0.4266799	0.0087169	0.8258568	0.7557101	0.1515696	0.7404931	0.1142187	0.2927800	0.5713072	0.1501480
350	0.0610736	0.4512704	0.0978096	0.3744926	0.0247192	0.7395666	0.7405234	0.1620968	0.5913401	0.1772977	0.3718925	0.4718960	0.1705635
400	0.0779550	0.4899531	0.1037947	0.4767396	0.0076608	0.8079577	0.8971762	0.1812471	0.5777351	0.2390566	0.4087092	0.6458771	0.1204676
450	0.0653294	0.5334368	0.0505203	0.4619659	0.0277560	0.8110215	0.8329836	0.1174313	0.6183172	0.2535963	0.3462265	0.5836003	0.1249049
500	0.1044593	0.5591347	0.0675535	0.5475060	0.0199616	0.7823445	0.8651874	0.1845955	0.5205500	0.1941792	0.3365460	0.6175696	0.1385345
550	0.0548161	0.1754673	0.1013278	0.4726623	0.0749911	0.7895568	0.9372643	0.1082910	0.3960979	0.1775478	0.2898143	0.5074026	0.1324254
600	0.1413240	0.0975442	0.1063475	0.4915587	0.0565152	0.6146284	0.6829171	0.1228491	0.3140636	0.1662731	0.3820796	0.7265902	0.1649552
650	0.0963904	0.0798058	0.0850220	0.5142467	0.1001987	0.6183838	0.7882630	0.1327318	0.2624716	0.1645934	0.3467669	0.6004844	0.1586386
700	0.1147731	0.0431699	0.0884652	0.5420544	0.1430538	0.6506915	0.7808292	0.1671432	0.3483339	0.1985811	0.2801868	0.5823284	0.1189768
750	0.0887992	0.0382978	0.0993477	0.6575181	0.0897444	0.6898162	0.7758957	0.1826657	0.4801720	0.2018714	0.2785020	0.5965810	0.1164147
800	0.0880558	0.0415714	0.0473962	0.4339520	0.0565103	0.5729986	0.8924438	0.1323057	0.4524747	0.2770279	0.3144649	0.4979362	0.1570257
850	0.0572518	0.0430242	0.0896507	0.5441296	0.0681626	0.7029706	0.8122758	0.2118855	0.3654310	0.1854000	0.2714220	0.5424802	0.1454781
900	0.0959530	0.0844490	0.0675392	0.5664587	0.0920962	0.6130651	0.7808066	0.2150376	0.5045552	0.2420881	0.3304450	0.5563112	0.1312652
950	0.0433444	0.0204307	0.0734836	0.5208818	0.1244013	0.7755971	0.8275391	0.1969847	0.5627055	0.1867443	0.3801963	0.4889844	0.1503247
1000	0.0697194	0.0184312	0.0597555	0.6119699	0.0941434	0.6858252	0.8307696	0.1956463	0.5635016	0.2393608	0.3361617	0.4907098	0.1470423

0	0.0693319	0.0328888	0.0637833	0.4550493	0.1102236	0.7308563	0.5716053	0.1917969	0.4234638	0.1491414	0.3218163	0.5505507	0.1837881
50	0.0555234	0.3212848	0.1080610	0.5198026	0.1476205	0.7494650	0.7218516	0.1597696	0.4288129	0.1668070	0.3971488	0.5099580	0.1831401
100	0.1153481	0.4368095	0.1340378	0.4828439	0.1032951	0.5802277	0.6384177	0.1112293	0.4841836	0.2482039	0.3056024	0.5671497	0.1864982
150	0.1409597	0.3609917	0.0999089	0.5736237	0.1055622	0.6103282	0.4794063	0.1368442	0.4286047	0.2442996	0.2718321	0.4511096	0.1883728
