"Time"	G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
550	0.5524459	1.0082033	0.8721607	0.0917838	0.0808764	0.3866313	0.5681034	0.0167860	0.4564348	1.0464976	0.0783809	0.1774492	0.9602288
600	0.3990415	1.0400122	0.8227369	0.4805621	0.1991935	0.6744105	0.4238901	0.0321348	0.1747894	0.9636196	0.0919862	0.2204828	0.9538690
650	0.2406687	0.7961012	0.8836866	0.6895297	0.3222116	0.7661504	0.2976384	0.0535185	0.0706216	0.7578602	0.1009970	0.2403075	1.0268298
700	0.2071340	0.4899370	0.6711840	0.8213605	0.3589059	0.8845029	0.3925205	0.0795372	0.0087591	0.6400058	0.0694156	0.2970072	1.0790934
750	0.2813503	0.3324526	0.4230132	0.9518541	0.3683022	0.9887856	0.5593904	0.0537116	0.0112742	0.6010037	0.1426901	0.2685066	1.0042532
800	0.3406878	0.2330660	0.2837612	0.9998587	0.4502779	0.8644694	0.6255071	0.0970207	0.0121020	0.5061604	0.2141270	0.3618335	0.9935298
850	0.3247744	0.1991475	0.2360102	0.9773631	0.5443415	0.9099382	0.5484831	0.1032628	0.0047605	0.4586966	0.2110796	0.4598740	0.9670732
900	0.3506580	0.2162222	0.2093381	0.9485609	0.5809296	0.8620410	0.5794329	0.1346770	0.0050319	0.5145633	0.2268547	0.5081487	0.9590036
950	0.3365317	0.1494379	0.2034969	0.8746991	0.6002786	0.9116287	0.5503660	0.0998033	0.0016351	0.5309392	0.2534381	0.4587078	1.1030651
1000	0.3285047	0.1672731	0.2067332	0.9520791	0.6062420	0.9092731	0.5531500	0.1177333	0.0021535	0.5152276	0.2964252	0.5302524	0.9298948

0	0.3733158	0.1178535	0.1619800	0.9785411	0.7252006	1.0143694	0.6307295	0.0913271	0.0011528	0.4668029	0.4866856	0.5481668	0.8698960
50	0.3091509	0.1592056	0.1546263	0.9809353	0.7699373	1.0325713	0.3133770	0.1326835	0.0038144	0.4980480	0.5401739	0.5849948	1.1008652
100	0.3077872	0.1767057	0.1822792	1.0102317	0.8166296	1.0303400	0.1427853	0.1389579	0.0016197	0.4316485	0.4285005	0.5649163	0.9800389
150	0.3679633	0.1690410	0.1707230	0.8564368	0.7946871	0.9662288	0.0785809	0.1713090	0.0001450	0.5136794	0.3375495	0.4333599	0.9525904
200	0.2897007	0.1408955	0.2044232	0.9518323	0.8344756	0.9084075	0.0570671	0.1811888	0.0064182	0.5342859	0.3285421	0.5287554	0.9862576
250	0.2727397	0.1789637	0.2092146	1.0603667	0.8520945	0.9333940	0.0599418	0.1712532	0.0011914	0.5127738	0.2169675	0.4857444	0.9891147
300	0.3312754	0.1572953	0.2120241	1.1351520	0.8549799	0.9692934	0.0907443	0.1717914	0.0030665	0.5621148	0.2374669	0.4405455	1.0899975
350	0.3318855	0.1326016	0.2070649	1.1212486	0.9214809	0.9865846	0.0472256	0.1432639	0.0042211	0.5382210	0.2995332	0.4455635	1.1089860
400	0.2830981	0.1361437	0.1784415	1.0372222	0.8804738	0.9371705	0.0608990	0.1296683	0.0006524	0.5240510	0.2617161	0.4484238	1.0313408
450	0.2928290	0.1471380	0.2316985	0.9817819	0.8889919	0.9525262	0.0818253	0.1284969	0.0053742	0.4928963	0.2737146	0.4479923	1.0278787
500	0.2877042	0.1558618	0.2171982	0.9640301	0.9786300	0.9838618	0.0788784	0.1922901	0.0038104	0.4805871	0.2388891	0.4383295	1.0772437
550	0.3469235	0.1765295	0.2526810	1.0209155	0.8377386	1.0009933	0.3085254	0.1958353	0.0010421	0.4185349	0.2383097	0.4446489	1.0168498
600	0.3401031	0.1399288	0.2057268	0.9905669	0.7655866	1.0195393	0.4620523	0.1610005	0.0064289	0.4292380	0.4137789	0.5280530	1.0756124
650	0.3165917	0.1431904	0.1799818	1.0098795	0.7085673	1.0210269	0.5710977	0.1117543	0.0015958	0.3962776	0.3757688	0.5517738	1.0831056
700	0.3304144	0.1588638	0.1788880	1.0512518	0.6716103	0.9255144	0.5114231	0.1422825	0.0047648	0.4490177	0.4271303	0.5109721	0.9740105
750	0.3305252	0.1495805	0.2190908	0.9468507	0.5879861	1.0151674	0.5528067	0.1347972	0.0129475	0.4915980	0.3929378	0.5604260	1.0364613
800	0.3191938	0.2075196	0.2113670	0.9345226	0.5702583	0.9939022	0.4297050	0.1517753	0.0028106	0.5416026	0.3360223	0.4737716	1.1703032
850	0.3235612	0.1767121	0.2057406	1.0103391	0.5654988	1.0510076	0.4177512	0.1515076	0.0029708	0.5639468	0.4052920	0.5107870	1.0814746
900	0.3496457	0.1675711	0.1448952	0.8559113	0.5220417	1.0021724	0.5332529	0.1168847	0.0021977	0.4829640	0.4246924	0.4745125	0.9623149
950	0.2732649	0.2108867	0.1951474	0.9068221	0.6213041	0.9186107	0.6221333	0.1113061	0.0065972	0.4946122	0.3647906	0.5317750	0.9412539
1000	0.2773806	0.1751114	0.1678997	0.9302530	0.6248037	0.8410145	0.6421544	0.0957471	0.0031027	0.4726112	0.2594646	0.4512003	0.8734983

0	0.3733158	0.1178535	0.1619800	0.9785411	0.7252006	1.0143694	0.6307295	0.0913271	0.0011528	0.4668029	0.4866856	0.5481668	0.8698960
50	0.3045463	0.1448682	0.2214308	0.9811761	0.6268985	1.0212310	0.5015501	0.1108926	0.0019798	0.4459638	0.3779761	0.5512350	0.9713760
100	0.2687853	0.1562741	0.1971958	0.9761145	0.5629242	1.1128582	0.5130190	0.1030492	0.0037591	0.4364890	0.3781274	0.5065636	1.0532194
150	0.3422020	0.1868855	0.1954142	0.9286126	0.6265488	1.1651299	0.5663784	0.1305505	0.0037223	0.3979987	0.3451628	0.5689349	0.9817304
200	0.3545149	0.1130423	0.2081800	0.9746432	0.6262558	1.1032874	0.6081120	0.1205526	0.0019150	0.3614294	0.4975137	0.5172883	1.0253986
250	0.3182601	0.1401851	0.1670130	0.9578557	0.6114849	1.0122415	0.6137057	0.1299043	0.0030782	0.4058977	0.4357139	0.5207403	1.0601302
300	0.3349243	0.1652101	0.1902984	0.9796876	0.6604959	0.9644725	0.6426843	0.1150510	0.0011195	0.4417124	0.3828869	0.5824685	1.0842282
350	0.2903576	0.1410451	0.1900704	0.9665991	0.7527414	1.0339195	0.5604312	0.1032841	0.0009272	0.4080932	0.3504549	0.5452587	1.0343559
400	0.2719735	0.1334618	0.1880455	0.9980017	0.5918340	1.0457532	0.5548309	0.1400429	0.0020612	0.4254908	0.3242260	0.5868207	0.9552595
450	0.2631012	0.0882318	0.1585934	0.9969878	0.5949365	1.0908562	0.5038874	0.0913539	0.0050698	0.4185508	0.3044764	0.5018123	0.9303090
500	0.3042258	0.1186657	0.1015976	0.9724207	0.5802383	1.1615482	0.5718287	0.1109468	0.0012434	0.4157008	0.3496485	0.4147970	1.0054618
550	0.2898712	0.1228450	0.1428877	1.0123543	0.6191223	1.2414397	0.5383671	0.0970764	0.0001556	0.4010466	0.5154370	0.4915276	1.0968918
600	0.2743263	0.1173289	0.1674776	1.0840115	0.6909771	1.0782502	0.4683702	0.1000251	0.0033076	0.3554560	0.4781240	0.4638775	0.8845742
650	0.3749779	0.1200603	0.1674930	1.0366774	0.6965124	0.9674996	0.5752472	0.1456762	0.0018036	0.4786212	0.3382368	0.5967102	0.9310187
700	0.3633190	0.1281885	0.1363637	1.0992014	0.5720624	1.0029717	0.5580343	0.1360556	0.0004656	0.4600378	0.4270394	0.5909531	1.0021295
750	0.3388258	0.1154656	0.1789659	1.0102418	0.6151796	1.0083408	0.5954404	0.1091624	0.0010912	0.5333632	0.4197834	0.6252631	0.9222100
800	0.2948179	0.1555255	0.1725878	0.9624214	0.5465707	0.9986457	0.5383529	0.1094752	0.0000362	0.4814230	0.3240082	0.6242387	1.0271952
850	0.2573890	0.1700634	0.1564156	0.8347370	0.6474252	0.9341114	0.5254477	0.0934943	0.0048387	0.4736899	0.1915424	0.5394930	0.8951039
900	0.2695048	0.1670845	0.2059810	0.8930365	0.5786740	0.9148930	0.6459671	0.0908309	0.0006976	0.4872394	0.1258141	0.4671150	0.9021840
950	0.2572149	0.1591914	0.1817924	1.0699399	0.5524263	0.9928379	0.6380840	0.0815359	0.0036016	0.5110211	0.1369408	0.4464077	0.9924971
1000	0.3612640	0.1557096	0.1873689	1.0914111	0.5659546	0.9834507	0.6117705	0.1035449	0.0004443	0.5627706	0.2572088	0.4432648	0.9907745

0	0.3733158	0.1178535	0.1619800	0.9785411	0.7252006	1.0143694	0.6307295	0.0913271	0.0011528	0.4668029	0.4866856	0.5481668	0.8698960
50	0.3062764	0.1252475	0.1580758	0.9741437	0.7215608	0.8826913	0.6015063	0.0801262	0.0013990	0.3826082	0.3128971	0.5608126	1.0470105
100	0.3419674	0.1015494	0.1634987	0.9773381	0.5998332	0.6325428	0.5913852	0.0250217	0.0002149	0.5271677	0.1530783	0.5300104	1.0571256
150	0.3430566	0.1408779	0.2241692	0.8820935	0.4409007	0.6240366	0.5868321	0.0049942	0.0011758	0.6177616	0.1575658	0.5100051	0.9269517
200	0.2903336	0.1462017	0.2099185	0.8626203	0.4356597	0.6563142	0.7118855	0.0039542	0.0020148	0.6306110	0.1383938	0.5010021	0.9260738
250	0.2267943	0.1444580	0.2162654	0.9459350	0.4620818	0.6696008	0.5869266	0.0020140	0.0014770	0.5789618	0.1025976	0.4696853	0.9896988
300	0.2333582	0.1373712	0.2658057	0.7880726	0.3843193	0.5999704	0.7336062	0.0040131	0.0000000	0.6423577	0.0900039	0.3704814	0.9852916
350	0.2543922	0.1424521	0.2208156	0.8771195	0.3336948	0.6051664	0.7781992	0.0006656	0.0010261	0.6608007	0.0631398	0.3560861	1.0388343
400	0.2844037	0.1885474	0.2374581	0.8341371	0.3178782	0.4643503	0.7583547	0.0007392	0.0037839	0.7194599	0.0558577	0.3069551	0.9927443
450	0.3270371	0.2331452	0.2393359	0.8604348	0.2505051	0.5361287	0.7887865	0.0011956	0.0004420	0.8037316	0.0643547	0.3029769	0.8968187
500	0.2665440	0.1710420	0.1660321	0.8581322	0.2728428	0.5913652	0.8518596	0.0025834	0.0035138	0.8566244	0.0915297	0.2747997	0.9893314
550	0.1823223	0.1975852	0.1342911	0.9080439	0.2721342	0.7467092	0.7822905	0.0094538	0.0019707	0.7931672	0.0700403	0.2828944	1.0025264
600	0.2065331	0.2052616	0.1681343	0.8260619	0.3662117	0.8561622	0.6142236	0.0225555	0.0058963	0.7705630	0.0734364	0.2278531	0.9643725
650	0.1726459	0.2211549	0.1619480	0.8544178	0.3900503	0.9965921	0.5502806	0.0737947	0.0011309	0.6108058	0.0902551	0.2164712	0.9416880
700	0.2181685	0.2155222	0.1614337	0.9585979	0.4803098	1.0490612	0.6305330	0.0770800	0.0006267	0.5311392	0.0661604	0.2449141	0.9405416
750	0.2800319	0.1401946	0.1444689	0.8398362	0.5542181	0.9263945	0.6498910	0.0651047	0.0054579	0.5659318	0.1564828	0.2630169	0.9480222
800	0.2838804	0.2206307	0.1981930	0.8812374	0.5483580	1.0227988	0.6323661	0.0869040	0.0050185	0.5446784	0.1941353	0.3835524	0.8952813
850	0.3283652	0.1771712	0.1848619	0.9412042	0.5640815	1.0848619	0.4976591	0.0973649	0.0032034	0.4832788	0.2394255	0.4453120	1.0822262
900	0.2367013	0.1429125	0.1815976	0.9908009	0.6364264	1.0704962	0.5392377	0.1297298	0.0019826	0.4703116	0.2936200	0.4363358	1.0141447
950	0.2971968	0.1715503	0.2068114	0.9620083	0.6023241	1.0020583	0.5956571	0.0930345	0.0007961	0.4501722	0.2715610	0.4918584	0.9668314
1000	0.3505951	0.1822465	0.1982012	0.9754969	0.5533300	1.0718497	0.5204448	0.0996378	0.0007342	0.4992534	0.3494310	0.5662308	1.0880521

