"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
600	1.0000000	0.6030394	0.0618465	0.6177574	0.4927528	0.6738188	0.0084822	0.7359213	0.4740341	0.5660329	0.2688736	0.3242639	0.1788802	0.3309545	0.3402305	0.6361148
650	1.0000000	0.6030394	0.0618465	0.6177574	0.4925831	0.6738170	0.0084804	0.7505832	0.4722231	0.5660334	0.2692548	0.2983605	0.2238645	0.3412317	0.1836068	0.7612545
700	1.0000000	0.6030394	0.0618465	0.6177574	0.4921143	0.6737833	0.0084661	0.7574990	0.4698126	0.5660345	0.2696934	0.2867251	0.2439051	0.4370278	0.0950337	0.8228605
750	1.0000000	0.6030394	0.0618465	0.6177574	0.4914066	0.6736937	0.0084312	0.7606390	0.4677288	0.5660361	0.2700538	0.2815515	0.2523791	0.5740788	0.0527317	0.8329588
800	1.0000000	0.6030394	0.0618465	0.6177574	0.4906548	0.6735489	0.0083783	0.7621735	0.4663100	0.5660376	0.2702964	0.2790779	0.2558434	0.6721661	0.0346845	0.8137579
850	1.0000000	0.6030394	0.0618465	0.6177574	0.4900180	0.6733765	0.0083190	0.7630575	0.4654761	0.5660390	0.2704429	0.2777835	0.2571984	0.7220240	0.0281391	0.7888311
900	1.0000000	0.6030394	0.0618465	0.6177574	0.4895563	0.6732102	0.0082650	0.7636511	0.4650328	0.5660400	0.2705271	0.2770691	0.2576879	0.7434416	0.0266195	0.7696828
950	1.0000000	0.6030394	0.0618465	0.6177574	0.4892574	0.6730728	0.0082228	0.7640757	0.4648147	0.5660407	0.2705747	0.2766718	0.2578372	0.7517127	0.0269733	0.7579014
1000	1.0000000	0.6030394	0.0618465	0.6177574	0.4890799	0.6729720	0.0081933	0.7643764	0.4647145	0.5660411	0.2706014	0.2764559	0.2578637	0.7545153	0.0277736	0.7515273

0	1.0000000	0.6030566	0.0618306	0.6177147	0.4888843	0.6728174	0.0081519	0.7648556	0.4646461	0.5660401	0.2706334	0.2762322	0.2578110	0.7545620	0.0295179	0.7460929
50	1.0000000	0.7406172	0.0622383	0.5787978	0.4905983	0.7049464	0.0082312	0.7638693	0.3268964	0.5660387	0.2706433	0.2706173	0.2579369	0.7552643	0.0200383	0.7460888
100	1.0000000	0.8721463	0.0659995	0.4874279	0.4328911	0.7351495	0.0076990	0.7622400	0.1813329	0.5659841	0.2708998	0.2416911	0.2569593	0.7581129	0.0098430	0.7459207
150	1.0000000	0.9334498	0.0763818	0.3963755	0.3135700	0.7425101	0.0049319	0.7699472	0.1047286	0.5652864	0.2720700	0.2069557	0.2470989	0.7617239	0.0044391	0.7451486
200	1.0000000	0.9570874	0.0918514	0.3367602	0.2151325	0.7351853	0.0021510	0.7814437	0.0710116	0.5601623	0.2746581	0.1828949	0.2198815	0.7693266	0.0021088	0.7425768
250	1.0000000	0.9653113	0.1070851	0.3055169	0.1603350	0.7252590	0.0007552	0.7899022	0.0573974	0.5427672	0.2781704	0.1693007	0.1793715	0.7874779	0.0013317	0.7356393
300	1.0000000	0.9678509	0.1185006	0.2911958	0.1345210	0.7182195	0.0002401	0.7951620	0.0522330	0.5136455	0.2815968	0.1608494	0.1396596	0.8193611	0.0014819	0.7212661
350	1.0000000	0.9684341	0.1256640	0.2852400	0.1232528	0.7143176	0.0000749	0.7983210	0.0503832	0.4839168	0.2845659	0.1539529	0.1100392	0.8592294	0.0025882	0.6982576
400	1.0000000	0.9684216	0.1296484	0.2829828	0.1185172	0.7124095	0.0000253	0.8001697	0.0497572	0.4616012	0.2872756	0.1478026	0.0914087	0.8963624	0.0049676	0.6692607
450	1.0000000	0.9682848	0.1316754	0.2822270	0.1165685	0.7115398	0.0000107	0.8012116	0.0495583	0.4477436	0.2898870	0.1427781	0.0808809	0.9240014	0.0086750	0.6397376
500	1.0000000	0.9681649	0.1326337	0.2820280	0.1157772	0.7111598	0.0000065	0.8017744	0.0495005	0.4401275	0.2923137	0.1391474	0.0753340	0.9414832	0.0131887	0.6146167
550	1.0000000	0.8221014	0.1325014	0.3130502	0.1060057	0.6724590	0.0000048	0.8028210	0.1900752	0.4633689	0.2960641	0.1383131	0.0712221	0.9477554	0.0562590	0.5959894
600	1.0000000	0.6828969	0.1274109	0.3968814	0.1762454	0.6352273	0.0000064	0.8072852	0.3386509	0.5093651	0.3000675	0.1532720	0.0721126	0.9119291	0.1064674	0.5833416
650	1.0000000	0.6202583	0.1140202	0.4936450	0.3004248	0.6222733	0.0001009	0.8133669	0.4168085	0.5387627	0.2957896	0.1864915	0.1052394	0.8259214	0.1261912	0.5900087
